Nro C,Temperatura [K],Presión[MPa],Densidad [kg/m3]
4,443,69.06,554
4,443,68.96,554
4,443,62.1,546.5
4,443,61.91,545
4,443,55.05,536.6
4,443,48.26,526.6
4,443,48.23,526.6
4,443,41.27,514.1
4,443,34.64,501.9
4,443,27.71,483.5
4,443,27.7,484.2
4,443,20.82,462.1
4,443,20.77,462.1
