NroC,Temperatura[K],Presion[MPa],Densidad[g/cm3],Densidad[kg/m3],PaperID
16,373.15,30,0.7434,743.4,P1
16,373.15,20,0.7359,735.9,P1
16,373.15,10,0.72669,726.69,P12
16,373.15,10,0.7277,727.7,P1
16,373.15,7.5,0.72455,724.55,P12
16,373.15,5,0.72246,722.46,P12
16,373.15,5,0.7232,723.2,P1
16,373.15,3,0.72063,720.63,P12
16,373.15,1,0.71873,718.73,P12
16,373.15,1,0.7194,719.4,P1
16,373.15,0.1,0.7178,717.8,P1
16,373.15,0.1,0.71783,717.83,P12
16,422.85,262.3,0.823,823,P4
16,422.85,236.5,0.815,815,P4
16,422.85,204.3,0.804,804,P4
16,422.85,170.7,0.792,792,P4
16,422.85,136.9,0.778,778,P4
16,422.85,108.8,0.765,765,P4
16,422.85,82.8,0.75,750,P4
16,422.85,69.8,0.743,743,P4
16,422.85,55.5,0.734,734,P4
16,422.85,41.2,0.724,724,P4
16,422.85,27.9,0.713,713,P4
16,422.85,14.1,0.7,700,P4
16,423.15,60,0.7372,737.2,P1
16,423.15,50,0.7304,730.4,P1
16,423.15,40,0.7229,722.9,P1
16,423.15,30,0.7147,714.7,P1
16,423.15,20,0.7055,705.5,P1
16,423.15,10,0.6951,695.1,P1
16,423.15,5,0.6892,689.2,P1
16,423.15,1,0.6841,684.1,P1
16,423.15,0.1,0.6808,680.8,P1
16,463.15,60,0.7175,717.5,P1
16,463.15,50,0.7098,709.8,P1
16,463.15,40,0.7014,701.4,P1
16,463.15,30,0.692,692,P1
16,463.15,20,0.6812,681.2,P1
16,463.15,10,0.6685,668.5,P1
16,463.15,5,0.661,661,P1
16,463.15,1,0.6545,654.5,P1
16,463.15,0.1,0.6516,651.6,P1
16,522.55,255,0.788,788,P4
16,522.55,235.8,0.782,782,P4
16,522.55,203.3,0.769,769,P4
16,522.55,170.1,0.755,755,P4
16,522.55,135.8,0.738,738,P4
16,522.55,107.9,0.723,723,P4
16,522.55,82.1,0.707,707,P4
16,522.55,69.1,0.698,698,P4
16,522.55,55.4,0.687,687,P4
16,522.55,42,0.675,675,P4
16,522.55,27.1,0.66,660,P4
16,522.55,15.1,0.643,643,P4
18,293.15,0.101325,0.7839,783.9,P2
18,324.25,68.9,0.8,800,P4
18,324.25,55.6,0.797,797,P4
18,324.25,42.2,0.788,788,P4
18,324.25,28.3,0.778,778,P4
18,324.25,14.4,0.769,769,P4
18,324.25,7,0.764,764,P4
18,422.75,255.9,0.829,829,P4
18,422.75,235.5,0.823,823,P4
18,422.75,206.1,0.813,813,P4
18,422.75,171.7,0.801,801,P4
18,422.75,138.5,0.787,787,P4
18,422.75,110,0.774,774,P4
18,422.75,84.5,0.761,761,P4
18,422.75,73.2,0.752,752,P4
18,422.75,56.1,0.741,741,P4
18,422.75,42.5,0.732,732,P4
18,422.75,29.4,0.724,724,P4
18,422.75,15.1,0.711,711,P4
18,422.75,7.7,0.702,702,P4
18,522.55,257,0.79,790,P4
18,522.55,235.7,0.782,782,P4
18,522.55,205.3,0.771,771,P4
18,522.55,170.4,0.757,757,P4
18,522.55,137.8,0.742,742,P4
18,522.55,110,0.727,727,P4
18,522.55,84.4,0.712,712,P4
18,522.55,70.8,0.703,703,P4
18,522.55,56.4,0.692,692,P4
18,522.55,43.2,0.681,681,P4
18,522.55,29.4,0.668,668,P4
18,522.55,15.3,0.651,651,P4
20,293.15,0.101325,0.79,790,P2
20,323.55,34.2,0.789,789,P4
20,323.55,27.4,0.787,787,P4
20,323.55,21.4,0.784,784,P4
20,323.55,14.9,0.777,777,P4
20,323.55,7.3,0.771,771,P4
20,422.75,260,0.837,837,P4
20,422.75,235.5,0.829,829,P4
20,422.75,203.1,0.818,818,P4
20,422.75,169.5,0.806,806,P4
20,422.75,136.1,0.792,792,P4
20,422.75,109.2,0.781,781,P4
20,422.75,81.6,0.765,765,P4
20,422.75,54.2,0.748,748,P4
20,422.75,34.6,0.735,735,P4
20,422.75,27.9,0.73,730,P4
20,422.75,20.6,0.723,723,P4
20,422.75,14.3,0.719,719,P4
20,422.75,7.4,0.711,711,P4
20,521.25,258,0.81,810,P4
20,521.25,239.8,0.805,805,P4
20,521.25,204.7,0.791,791,P4
20,521.25,173.1,0.777,777,P4
20,521.25,138.2,0.763,763,P4
20,521.25,109.2,0.744,744,P4
20,521.25,82.5,0.727,727,P4
20,521.25,69.6,0.719,719,P4
20,521.25,55.5,0.706,706,P4
20,521.25,41.9,0.691,691,P4
20,521.25,28.3,0.676,676,P4
20,521.25,16.4,0.661,661,P4
24,293.15,0.101325,0.7991,799.1,P2
28,293.15,0.101325,0.8067,806.7,P2
32,293.15,0.101325,0.8124,812.4,P2
36,293.15,0.101325,0.8171,817.1,P2
40,293.15,0.101325,0.8215,821.5,P2
44,293.15,0.101325,0.8262,826.2,P2
