Nro C,Temperatura [K],Presion[MPa],Densidad [kg/m3]
4,323,68.39,629.5
4,323,68.37,629.5
4,323,61.42,624.4
4,323,52.27,616.2
4,323,43.59,607.7
4,323,37.21,601.4
4,323,34.56,598.4
4,323,34.54,598.4
4,323,34.25,597.4
4,323,31.92,595.1
4,323,29.76,592.7
4,323,26.85,588.8
4,323,21.98,581.9
4,323,18.03,575.9
4,323,13.31,567.4
